sample_name,ADAD2,ADAMTS15,ARPP19,ATG9B,BAALC,BBS12,BCMO1,BRUNOL5,C19orf35,C1orf168,C2orf71,C9orf53,CPSF4L,CRYL1,CSNK2A1,DACT3,DEM1,DNA2,DTX3,EIF4A3,ENTPD8,F12,FAM176B,FAM7A1,FAM7A2,FAM7A3,FAM92A1,FBXO47,GBAP,HBA2,HNRNPL,HRC,HSD17B1,IL9R,KIAA1755,LAT,LCE4A,LOC284379,LOC729338,LYRM2,MC1R,MCAT,MLLT6,NHS,NOL10,NR1D1,OGFR,OR1E2,OR1F2P,OXSR1,P4HA3,PAPD5,PI4KAP1,PIH1D2,PNPLA5,PPIH,PRELID2,PRKCI,PRRX2,PVRL2,PXMP2,RASGRP1,RDH8,RPL12,RPL36,RPL9,RPS17,RSBN1L,RYK,SCARB1,STAMBPL1,TBX20,TCHP,TCTE1,TEC,TEKT2,TMEM139,TPH2,TRPM4,TTC23L,ZNF181,ZNF788,class
2236C,0,0,0,0.72974771,0,0,1.228809506,0,0.929896081,1.221082394,0,0,0.589802527,1.017662082,0,0,0,0,0,0,0,0,0,0,0,0,1.564087326,0,0,0,0,0,0.294016398,0,0.927119014,0,0,0,0,1.78661214,0,0,0,1.031558006,0,1.016011538,0.730317261,0,0,0,0,0,0.384045853,0,0,0,0.505832259,0,0,0,0,0,0,0,0,0,0,0.465488693,0,0,1.132438753,0.450893976,0,0.465766867,0,0,0,0.769465593,0,0.653003821,0.22343393,0,ALL
2326C,0,0,0,0.708819712,0,0,1.261930918,0,0,0.364027623,0,1.048200129,0.371459813,0,0,0,0,0,0,0,0,1.048439014,0,0,0,0,1.730989678,0,0,0,0,0,0,0,0,0,0.440410511,0,0,0.956219445,0,0,0,0.697692158,0,1.232544719,0,0,0,0,0,0,0,1.266177037,0.738231409,1.04114236,0.637987038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42802137,0,0,0,0,0.338448561,1.26126642,0,0.852076324,0,0,ALL
2372C,0,0.931247495,0,0.632702044,0,0,0,0,0,0.688637199,0,0,0,0,0,0.512515888,0.617417569,0,0.840589603,1.222430188,0,0,0.527497786,0.437202373,0.437202373,0,1.030734706,0,0,0,0,0,0.592834163,0,0.91754427,0,0,0,0,0.808158692,0,0,0,0.65281075,0,1.290359195,0,0,0,0,0,0,0,1.382180295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762762705,0,0,0.517658984,0,0,0,0,0.833532989,0,0,0,0,0,ALL
2533C,0,0.909810611,0,1.245827579,0,0,0.765602648,0,0,0.298062675,0,0.337935108,0,0.44100622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845558377,0,1.116738246,0,0,0,0,0,0,0,1.571981396,0,0.659480848,0.969297426,0,0.833531619,0.89801043,0,0,0.335866752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALL
2682C,0,0,0,0.811256776,0,0,1.515294643,0,0,0.398277871,0,0,0,1.201398326,0,0,0,0,0,0,0,1.306432859,0,0,0,0,1.257850742,0,0,0,0,0.980170358,0,0,0.941274921,0,1.921003385,0,0,0,0,0,0,0.352689692,0,0.9998573,0,0,0,0,0,0,0,0,0,0,0.709227586,0,0,0,0,0,0,0,0,0,0,0.326419142,0,0,0.579484622,0.663027605,0,0,0,0,1.032492001,0,0,0.414725847,0,1.557400047,ALL
2692C,0,0.724070377,0,0.816480229,0,0,1.002290649,0,0,0.366110171,0,0,1.022045362,0,0,0,0,0,0,0,0,0.833893392,0,0,0,0,0,0,0,0,0,0,0.640429499,0,0.527337263,0,1.416263407,0.276082439,0,0,0,0,0,0.503236275,0,1.233240969,0.731263476,1.130713905,0.771923797,0,0,0,0,1.365240748,0,0.214373844,0,0,0,0.873614237,0,0.805589686,0,0,0,0,0,0,0,0,1.092541453,0,0,0,0,0,0,0.865240434,0,0.646594149,0,0,ALL
2710C,0,0,0,0,0,0.680364689,0,0,0,0,0,0,0,0.397323439,0,0.561059379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682472743,0.570581072,0,0,0.680364689,0,0,0,0,0.694883052,0,1.083805988,0,0,0,0,0,0,0,0.990667263,0,0,0.69302328,0,0,0.756138719,0,0,0,0,0,0,0,0,0,0,1.21271462,0,0,0.352486152,0,0,0,0,0,0,0,0,ALL
2791C,0,0,0,0.959352126,0.403674184,0,1.001446001,0,0,0.853121416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677121245,0,0.903998119,0.612092983,0,0.481599469,0,0,0,0.775447945,1.12578229,0.613698209,0,1.157746591,0.231779404,0,0,0,1.159181714,0.997758642,0.596972421,0,0,0,0,0,0.436693669,0.644044411,0.537407605,0,0,0,0,0,0,0,0,0,0,ALL
2811C,0,1.218746359,0,0,0,0,0.730065813,0,0,0.824023689,0,0,0.92841056,0.540864338,0,0,0.889126407,0,0,0,0,0,0,0,0,0,0.930237745,0,0,0,0,0.524789577,0.256102746,0,0.440694746,0,0,0,0,0,0,0,0,0.588138028,0,0.856381738,0,0,0,0,0.74699697,0,0.559187993,1.143333356,0.691097549,0,1.246912461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787053743,0.623081996,0,0,0,0,0,0,0.524789577,1.444614886,0.401086592,0,ALL
2812C,0,0,0,1.357120647,0,0,0.916692819,0,0,0.592698136,0,0.853096869,0,1.312506087,0,1.334298474,0,0,0,0,0,0,0.115723907,0,0,0,0,0,0.14036794,0,0,0,0,0,0.652687545,0,0,0,0,1.16502462,0,0,0,1.039068211,0,0.476734959,0.348216402,0,0,0,0,0,0,0,0,0,0.270953228,0,0,1.017526346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085182483,0,0,0,0,ALL
